arxiv,state,mentioned,sites,values,targets,flag_cite_penoyre,flag_cite_paper_i_id,flag_prov,flag_prov_release,flag_hedge,flag_on_ruwe,flag_on_uwe
2309.14605,measured,0,0,,,0,0,0,0,0,0,0
2309.15905,measured,1,2,0.181|2,gaia_generic|none,0,0,0,0,0,1,0
2310.01293,measured,0,0,,,0,0,0,0,0,0,0
2310.02241,measured,0,0,,,0,0,0,0,0,0,0
2310.02256,measured,1,0,,,0,0,0,0,0,0,0
2310.03654,measured,1,4,1.4,lindegren|other,0,0,0,1,0,1,0
2310.05653,measured,1,3,0.02|1.4|4.5,none,0,0,1,0,0,1,0
2310.06295,measured,1,0,,,0,0,0,0,0,0,0
2310.08890,measured,1,3,1.16|1.4,other,0,0,0,0,0,1,0
2310.13489,measured,0,0,,,0,0,0,0,0,0,0
2310.15671,measured,1,0,,,0,0,0,0,0,0,0
2310.16257,measured,0,0,,,0,0,0,0,0,0,0
2310.19866,measured,0,0,,,0,0,0,0,0,0,0
2310.20099,measured,0,0,,,0,0,0,0,0,0,0
2310.20176,measured,1,2,2,none,0,0,0,0,0,1,0
2311.01827,measured,1,2,1.35,none|other,0,0,0,0,0,1,0
2311.03199,measured,1,1,1.2,gaia_generic,0,0,1,0,1,1,0
2311.03436,measured,0,0,,,0,0,0,0,0,0,0
2311.04862,measured,0,0,,,0,0,0,0,0,0,0
2311.08358,measured,1,1,1.4,other,0,0,0,0,0,1,0
2311.08461,measured,0,0,,,0,0,0,0,0,0,0
2311.08489,measured,1,6,1.4|2,none|other,0,0,0,0,0,1,0
2311.08801,measured,1,1,1.15,other,0,0,0,0,0,1,0
2311.11454,measured,0,0,,,0,0,0,0,0,0,0
2311.12210,measured,0,0,,,0,0,0,0,0,0,0
2311.17145,measured,0,0,,,0,0,0,0,0,0,0
2312.02260,measured,0,0,,,0,0,0,0,0,0,0
2312.02735,measured,1,2,1.4|1.8,other,0,0,0,0,0,1,0
2312.03162,measured,1,1,1.2,none,0,0,0,0,0,1,0
2312.05301,measured,1,1,1.4,gaia_generic,0,0,0,0,0,1,0
2312.06776,measured,1,1,0.98,none,0,0,0,0,0,1,0
2312.08423,measured,0,0,,,0,0,0,0,0,0,0
2312.10158,measured,1,0,,,0,0,0,0,0,0,0
2312.11124,measured,1,3,1.25|1.4|2.01,none|other,0,0,0,0,0,1,0
2312.11664,measured,1,2,1.1|1.4,none|other,0,0,0,0,0,1,0
2312.12827,measured,1,4,1.4,fabricius|none|other,0,0,0,0,0,1,0
2401.02484,measured,0,0,,,0,0,0,0,0,0,0
2401.03959,measured,1,2,1.4,gaia_generic,0,0,0,0,0,1,0
2401.04173,measured,1,3,0.99|1.4|3.60,none|other,0,0,0,0,0,1,0
2401.05630,measured,1,2,1.2|1.4,lindegren|other,0,0,1,0,0,1,1
2401.08546,measured,1,1,1.4,other,0,0,1,0,0,1,0
2402.04919,measured,1,1,1.2,none,0,0,1,0,0,1,0
2402.04946,measured,0,0,,,0,0,0,0,0,0,0
2402.05720,measured,0,0,,,0,0,0,0,0,0,0
2402.05991,measured,0,0,,,0,0,0,0,0,0,0
2402.07346,measured,0,0,,,0,0,0,0,0,0,0
2402.07748,measured,0,0,,,0,0,0,0,0,0,0
2402.09278,measured,0,0,,,0,0,0,0,0,0,0
2402.13223,measured,1,1,1.4,lindegren,0,0,0,0,0,1,0
2402.14960,measured,1,0,,,0,0,0,0,0,0,0
2402.15101,measured,1,1,1.4,other,0,0,0,0,0,1,0
2402.15438,measured,1,5,1.2|1.24|1.4,fabricius|lindegren|other,0,0,0,0,0,1,0
2402.17384,measured,0,0,,,0,0,0,0,0,0,0
2403.03261,measured,1,2,1.4,other,0,0,0,0,0,1,0
2403.04592,measured,1,13,0.95|1.0|1.07|1.29|1.4|1.6|1.61|1.67|1.88|1.98|8.3,none|other,0,0,0,0,0,1,0
2403.04606,measured,1,4,1.4,other,0,0,1,1,0,1,0
2403.06240,measured,0,0,,,0,0,0,0,0,0,0
2403.12129,measured,0,0,,,0,0,0,0,0,0,0
2403.12146,measured,1,3,1.4|2,gaia_generic|none|penoyre,1,0,0,0,1,1,0
2403.12219,measured,0,0,,,0,0,0,0,0,0,0
2403.15513,no_source,,,,,,,,,,,
2404.02976,measured,1,0,,,0,0,0,0,0,0,0
2404.05327,measured,0,0,,,0,0,0,0,0,0,0
2404.08234,measured,1,5,1.25,none|penoyre,1,0,0,0,0,1,0
2404.11022,measured,1,2,1.4,other,0,0,0,0,0,1,0
2404.12523,measured,0,0,,,0,0,0,0,0,0,0
2404.14127,measured,1,9,1.25|1.4|2.07,lindegren_tn|none|other,0,0,1,1,1,1,0
2404.14324,no_source,,,,,,,,,,,
2404.18099,measured,1,1,1.4,fabricius,0,0,0,0,0,0,0
2404.19676,measured,1,2,1.4,lindegren,0,0,0,0,0,1,0
2405.00780,measured,0,0,,,0,0,0,0,0,0,0
2405.02423,measured,0,0,,,0,0,0,0,0,0,0
2405.02863,measured,0,0,,,0,0,0,0,0,0,0
2405.02912,measured,0,0,,,0,0,0,0,0,0,0
2405.03457,measured,0,0,,,0,0,0,0,0,0,0
2405.04314,measured,0,0,,,0,0,0,0,0,0,0
2405.10379,measured,1,1,1.4,lindegren,0,0,0,0,1,1,0
2405.13395,measured,1,1,5,none,0,0,0,0,0,1,0
2406.04288,measured,1,3,1.014|1.4|1.81,none|other,0,0,1,0,0,1,0
2406.07196,measured,1,4,1.4|1.96,other,0,0,0,0,1,1,1
2406.11593,measured,1,0,,,0,0,0,0,0,0,0
