arxiv,state,has_bib,A,A_bib,A_body,B14,B_any,C,sites_all,sites14,evidence
2312.11664,measured,1,1,1,0,0,0,1,2,1,"~G. 1988, \apj, 332, 891 \bibitem[{{Lindegren}(2018)}]{lindegren18b} {Lindegren}, L. 2018, {Gaia Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-124-01, available at \url{https://www.cosmos.esa.int/web/gaia/public-dpac-documents}} \bibitem[{{Lindegren} {et~al.}(2018){Lindegren}, {Hern{\'a}ndez}, "
2401.03959,measured,1,0,0,0,0,0,0,2,2,
2401.04173,measured,1,0,0,0,0,0,0,3,1,
2401.05630,measured,1,0,0,0,0,0,1,1,1,
2401.08546,measured,1,0,0,0,0,0,0,1,1,
2402.13223,measured,1,0,0,0,0,0,1,1,1,
2402.15101,measured,1,0,0,0,0,0,0,1,1,
2402.15438,measured,1,0,0,0,0,0,0,5,3,
2403.03261,measured,1,0,0,0,0,0,0,2,2,
2403.04592,measured,1,0,0,0,0,0,1,12,2,
2403.04606,measured,1,0,0,0,0,0,1,4,4,
2403.12146,measured,1,1,1,0,0,0,0,3,2,"%Type = Article \bibitem[{Lindegren et~al.(2018)}]{lindegren2018_ruwe} \bibinfo{author}{Lindegren, L.}, et~al., \bibinfo{year}{2018}. \newblock \bibinfo{title}{Re-normalising the astrometric chi-square in gaia dr2}. \newblock \bibinfo{journal}{Gaia Technical Note: GAIA-C3-TN-LU-LL-124-01} . %Type = Article \bibitem[{{Manchanda} et~al.(2023){Manchanda"
2404.11022,measured,1,0,0,0,0,0,1,2,2,
2404.14127,measured,1,1,1,1,1,1,0,7,4,"}, {Arenou}, \& {Th{\'e}venin}}]{2022A&A...657A...7K} {Kervella}, P., {Arenou}, F., \& {Th{\'e}venin}, F. 2022, \aap, 657, A7 \bibitem[{Lindegren(2018)}]{LL:LL-124} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{Lindegren(2022)}]{LL:LL-136} Lindegren, L. 2022, gAIA-C3-TN-LU-LL-136 \bibitem[{{Lindegren} {et~al.}(2021"
