arxiv,verdict,fetch_ok,members,bytes,fetch_error,landed_all_zero,landed_mentioned,now_mentioned,diffs
2302.07714,TRUE_ZERO,1,2,6422075,,1,0,0,
2302.07880,TRUE_ZERO,1,1,2520144,,1,0,0,
2302.10024,TRUE_ZERO,1,2,16129318,,1,0,0,
2302.12778,TRUE_ZERO,1,2,486605,,1,0,0,
2303.05743,TRUE_ZERO,1,1,2201025,,1,0,0,
2303.09926,TRUE_ZERO,1,2,16118245,,1,0,0,
2303.12841,TRUE_ZERO,1,2,2511520,,1,0,0,
2303.14073,TRUE_ZERO,1,2,2428245,,1,0,0,
2303.15531,TRUE_ZERO,1,3,14208145,,1,0,0,
2303.16224,TRUE_ZERO,1,2,1065441,,1,0,0,
2303.16357,TRUE_ZERO,1,2,299701,,1,0,0,
2304.02029,TRUE_ZERO,1,3,1456301,,1,0,0,
2304.09206,TRUE_ZERO,1,2,7089009,,1,0,0,
2304.12169,TRUE_ZERO,1,2,775670,,1,0,0,
2304.14113,TRUE_ZERO,1,3,3852805,,1,0,0,
2305.00134,TRUE_ZERO,1,4,5168732,,1,0,0,
2305.02514,TRUE_ZERO,1,3,639931,,1,0,0,
2305.11823,TRUE_ZERO,1,30,5300043,,1,0,0,
2306.04311,TRUE_ZERO,1,2,513232,,1,0,0,
2306.06888,TRUE_ZERO,1,11,5861895,,1,0,0,
2306.08143,TRUE_ZERO,1,2,1991501,,1,0,0,
2306.11276,TRUE_ZERO,1,2,9084578,,1,0,0,
2306.14025,TRUE_ZERO,1,3,10878394,,1,0,0,
2306.17545,TRUE_ZERO,1,2,561611,,1,0,0,
2307.03397,TRUE_ZERO,1,5,3744680,,1,0,0,
2307.05669,TRUE_ZERO,1,2,367999,,1,0,0,
2307.08959,TRUE_ZERO,1,5,4766405,,1,0,0,
2307.10836,TRUE_ZERO,1,7,18063552,,1,0,0,
2307.13398,TRUE_ZERO,1,2,3528025,,1,0,0,
2308.09854,TRUE_ZERO,1,5,10033199,,1,0,0,
2308.14303,TRUE_ZERO,1,1,2746854,,1,0,0,
2308.15919,TRUE_ZERO,1,1,4083384,,1,0,0,
2309.01546,TRUE_ZERO,1,6,409199,,1,0,0,
2309.02488,TRUE_ZERO,1,2,21611719,,1,0,0,
2309.05524,TRUE_ZERO,1,16,16183982,,1,0,0,
2309.05618,TRUE_ZERO,1,2,13558258,,1,0,0,
