frame,arxiv,doi,year,neg_sites,neg_values,neg_attributed,pos_sites,pos_values,pos_attributed,frac_sites,frac_attributed,frac_indexed,spurfrac_sites,spurfrac_attributed,spurfrac_indexed,spurious_terms,successor_criteria
A,2209.03906,10.1051/0004-6361/202243670,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2209.04210,10.1051/0004-6361/202244144,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2209.05845,10.1051/0004-6361/202244207,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2209.06810,10.1051/0004-6361/202243971,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof
B,2209.06833,10.1093/mnras/stac3140,2022,0,,0,0,,0,0,0,0,0,0,0,4,ruwe
B,2209.06873,10.1093/mnras/stad1306,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2209.07885,10.1093/mnras/stac2666,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2209.08259,10.1093/mnras/stac2906,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2209.09915,10.1093/mnras/stac3488,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe|sigma5d
A,2209.12938,10.1051/0004-6361/202244709,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
B,2209.13107,10.1093/mnras/stac2788,2022,0,,0,0,,0,0,0,0,0,0,0,1,ruwe
B,2209.14319,10.1093/mnras/stac2829,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2210.01137,10.1093/mnras/stad1803,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2210.01937,10.3847/1538-4365/ac97f0,2022,0,,0,0,,0,0,0,0,0,0,0,0,gof_al
A,2210.02086,10.3847/1538-4357/ac9051,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2210.03725,10.3847/1538-4365/ac98fd,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2210.08510,10.1051/0004-6361/202243667,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2210.10816,10.3847/1538-4357/acec75,2018,0,,0,0,,0,0,0,0,0,0,0,0,
B,2210.11383,10.3847/1538-4357/ac9cd7,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2210.11856,10.1093/mnras/stac2595,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2210.11930,10.1051/0004-6361/202244265,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2210.14734,10.1051/0004-6361/202244479,2022,0,,0,0,,0,0,0,0,0,0,0,0,gof_al|ipd_gof|ruwe|visibility
B,2210.15473,10.3847/1538-4365/aca286,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2210.16322,10.3847/1538-4357/ac9d8d,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2211.01449,10.1051/0004-6361/202244250,2022,0,,0,0,,0,0,0,0,2,0,1,23,fidelity|ipd_gof|ruwe
A,2211.01534,10.3847/1538-3881/ac9900,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2211.01861,10.1051/0004-6361/202243893,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2211.06194,10.1093/mnras/stad915,2022,0,,0,1,10,0,0,0,0,0,0,0,0,visibility
